PID,TIMELINE,SCORE
147916593, Timeline 2 (Density Graph),2
148060312, Timeline 2 (Density Graph),1
148063802, Timeline 2 (Density Graph),0
148063804, Timeline 2 (Density Graph),1
148063807, Timeline 2 (Density Graph),0
148072624, Timeline 2 (Density Graph),1
148087855, Timeline 2 (Density Graph),2
148088832, Timeline 2 (Density Graph),2
148121369, Timeline 2 (Density Graph),1
148121371, Timeline 2 (Density Graph),1
148121544, Timeline 2 (Density Graph),0
148121549, Timeline 2 (Density Graph),0
148191331, Timeline 2 (Density Graph),2
148225108, Timeline 2 (Density Graph),0
148242096, Timeline 2 (Density Graph),2
148250834, Timeline 2 (Density Graph),1
148355343, Timeline 2 (Density Graph),2
148379134, Timeline 2 (Density Graph),0
148457705, Timeline 2 (Density Graph),2
148463769, Timeline 2 (Density Graph),2
148516311, Timeline 2 (Density Graph),2
148547931, Timeline 2 (Density Graph),1
148551719, Timeline 2 (Density Graph),2
148552210, Timeline 2 (Density Graph),2
148558714, Timeline 2 (Density Graph),2
148561559, Timeline 2 (Density Graph),2
148743058, Timeline 2 (Density Graph),0
148768751, Timeline 2 (Density Graph),2
148783679, Timeline 2 (Density Graph),2
148784892, Timeline 2 (Density Graph),1
148786365, Timeline 2 (Density Graph),1
148796085, Timeline 2 (Density Graph),2
148822625, Timeline 2 (Density Graph),2
148904494, Timeline 2 (Density Graph),2
148958404, Timeline 2 (Density Graph),1
149094645, Timeline 2 (Density Graph),2
149140946, Timeline 2 (Density Graph),2
149185311, Timeline 2 (Density Graph),1
149215102, Timeline 2 (Density Graph),2
149353591, Timeline 2 (Density Graph),2
149466211, Timeline 2 (Density Graph),1
149508537, Timeline 2 (Density Graph),2
149605649, Timeline 2 (Density Graph),1
150389044, Timeline 2 (Density Graph),0
150404083, Timeline 2 (Density Graph),2
150404087, Timeline 2 (Density Graph),2
150406438, Timeline 2 (Density Graph),2
150461254, Timeline 2 (Density Graph),0
150490423, Timeline 2 (Density Graph),0
150502997, Timeline 2 (Density Graph),2
150504800, Timeline 2 (Density Graph),2
150506408, Timeline 2 (Density Graph),2
150511275, Timeline 2 (Density Graph),2
150520051, Timeline 2 (Density Graph),0
150550616, Timeline 2 (Density Graph),2
150595058, Timeline 2 (Density Graph),2
150599446, Timeline 2 (Density Graph),2
150614757, Timeline 2 (Density Graph),2
150627078, Timeline 2 (Density Graph),2
150630441, Timeline 2 (Density Graph),1
150637363, Timeline 2 (Density Graph),1
150639039, Timeline 2 (Density Graph),2
150716670, Timeline 2 (Density Graph),1
150743242, Timeline 2 (Density Graph),2
150750066, Timeline 2 (Density Graph),1
150825023, Timeline 2 (Density Graph),1
150860818, Timeline 2 (Density Graph),1
150877653, Timeline 2 (Density Graph),2
150879454, Timeline 2 (Density Graph),0
146201756, Timeline 3 (Event Blocks),1
146206265, Timeline 3 (Event Blocks),0
146207901, Timeline 3 (Event Blocks),2
146208061, Timeline 3 (Event Blocks),2
146210319, Timeline 3 (Event Blocks),2
146217689, Timeline 3 (Event Blocks),2
146266265, Timeline 3 (Event Blocks),2
146269551, Timeline 3 (Event Blocks),2
146273701, Timeline 3 (Event Blocks),0
146284478, Timeline 3 (Event Blocks),2
146313793, Timeline 3 (Event Blocks),0
146400674, Timeline 3 (Event Blocks),2
146411777, Timeline 3 (Event Blocks),1
146445266, Timeline 3 (Event Blocks),1
146490541, Timeline 3 (Event Blocks),0
146511990, Timeline 3 (Event Blocks),2
146559166, Timeline 3 (Event Blocks),0
146771812, Timeline 3 (Event Blocks),2
146772938, Timeline 3 (Event Blocks),2
146816020, Timeline 3 (Event Blocks),2
146859309, Timeline 3 (Event Blocks),0
146919962, Timeline 3 (Event Blocks),2
146933121, Timeline 3 (Event Blocks),2
146941069, Timeline 3 (Event Blocks),2
146944030, Timeline 3 (Event Blocks),2
