Response ID,Timeline Used Value,Timeline Used Value Decrypted,Timeline Type (TimelinesUsed),Timeline Type (User Entry),Video Name,(Original Answer) 1. I think that I would like to use this UI frequently,(Original Answer) 2. I found the UI unnecessarily complex,(Original Answer) 3. I thought the UI was easy to use,(Original Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Original Answer) 5. I found the various functions in this UI were well integrated,(Original Answer) 6. I thought there was too much inconsistency in this UI,(Original Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Original Answer) 8. I found the UI very cumbersome to use,(Original Answer) 9. I felt very confident using the UI,(Original Answer) 10. I needed to learn a lot of things before I could get going with this UI,(Adjusted Answer) 1. I think that I would like to use this UI frequently,(Adjusted Answer) 2. I found the UI unnecessarily complex,(Adjusted Answer) 3. I thought the UI was easy to use,(Adjusted Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Adjusted Answer) 5. I found the various functions in this UI were well integrated,(Adjusted Answer) 6. I thought there was too much inconsistency in this UI,(Adjusted Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Adjusted Answer) 8. I found the UI very cumbersome to use,(Adjusted Answer) 9. I felt very confident using the UI,(Adjusted Answer) 10. I needed to learn a lot of things before I could get going with this UI,Adjusted Answer Sum,SUS Score
148242096, 83603, 14235, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0500, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148225108, 69372, 4, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 2, 1, 3, 1, 3, 1, 2, 2, 2, 2, 19, 47.5
148225108, 73881, 4513, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0100, 4, 4, 4, 4, 4, 4, 2, 3, 3, 3, 3, 1, 3, 1, 3, 1, 1, 2, 2, 2, 19, 47.5
148225108, 69413, 45, Timeline 5 (Event Thumbnails), Timeline 1 (Base Interface), VIRAT_S_0102, 4, 4, 4, 4, 4, 3, 3, 2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 3, 1, 3, 22, 55.0
148225108, 69819, 451, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0400, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 3, 1, 3, 22, 55.0
148225108, 114500, 45132, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0500, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3, 3, 1, 3, 1, 3, 1, 3, 3, 3, 2, 23, 57.5
148191331, 69491, 123, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0002, 1, 4, 1, 1, 1, 5, 1, 4, 1, 1, 0, 1, 0, 4, 0, 0, 0, 1, 0, 4, 10, 25.0
148191331, 69380, 12, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 3, 2, 4, 1, 4, 4, 1, 4, 3, 1, 2, 3, 3, 4, 3, 1, 0, 1, 2, 4, 23, 57.5
148191331, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0102, 2, 1, 4, 1, 3, 4, 4, 4, 3, 1, 1, 4, 3, 4, 2, 1, 3, 1, 2, 4, 25, 62.5
148191331, 81722, 12354, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 4, 4, 4, 1, 4, 2, 2, 3, 4, 1, 3, 1, 3, 4, 3, 3, 1, 2, 3, 4, 27, 67.5
148191331, 70603, 1235, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0500, 5, 1, 5, 1, 5, 1, 4, 1, 5, 1, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 39, 97.5
148121549, 69520, 152, Timeline 2 (Density Graph), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 3, 4, 5, 3, 4, 3, 5, 3, 3, 3, 2, 1, 4, 2, 3, 2, 4, 2, 2, 2, 24, 60.0
148121549, 84611, 15243, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100, 4, 4, 5, 3, 4, 4, 3, 5, 3, 4, 3, 1, 4, 2, 3, 1, 2, 0, 2, 1, 19, 47.5
148121549, 70892, 1524, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 5, 2, 5, 5, 4, 3, 5, 4, 3, 3, 0, 1, 0, 4, 1, 2, 0, 3, 2, 16, 40.0
148121549, 69383, 15, Timeline 5 (Event Thumbnails), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 3, 4, 5, 5, 4, 4, 3, 3, 4, 4, 2, 1, 4, 0, 3, 1, 2, 2, 3, 1, 19, 47.5
148121549, 69369, 1, Timeline 1 (Base Interface), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500, 4, 5, 5, 4, 4, 3, 3, 4, 4, 3, 3, 0, 4, 1, 3, 2, 2, 1, 3, 2, 21, 52.5
148121544, 69582, 214, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 3, 3, 4, 4, 5, 5, 3, 4, 3, 4, 2, 2, 3, 1, 4, 0, 2, 1, 2, 1, 18, 45.0
148121544, 69370, 2, Timeline 2 (Density Graph), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100, 3, 4, 5, 4, 4, 3, 3, 4, 5, 4, 2, 1, 4, 1, 3, 2, 2, 1, 4, 1, 21, 52.5
148121544, 90821, 21453, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 3, 3, 5, 3, 5, 4, 4, 5, 3, 4, 2, 2, 4, 2, 4, 1, 3, 0, 2, 1, 21, 52.5
148121544, 71513, 2145, Timeline 5 (Event Thumbnails), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 3, 5, 3, 4, 4, 3, 5, 4, 3, 4, 2, 0, 2, 1, 3, 2, 4, 1, 2, 1, 18, 45.0
148121544, 69389, 21, Timeline 1 (Base Interface), Timeline 5 (Event Thumbnails), VIRAT_S_0500, 3, 4, 4, 5, 5, 4, 4, 3, 3, 4, 2, 1, 3, 0, 4, 1, 3, 2, 2, 1, 19, 47.5
148121371, 101909, 32541, Timeline 1 (Base Interface), Timeline 3 (Event Blocks), VIRAT_S_0002, 3, 5, 5, 4, 4, 3, 3, 4, 4, 4, 2, 0, 4, 1, 3, 2, 2, 1, 3, 1, 19, 47.5
148121371, 69400, 32, Timeline 2 (Density Graph), Timeline 3 (Event Blocks), VIRAT_S_0100, 3, 4, 5, 4, 4, 3, 3, 3, 4, 4, 2, 1, 4, 1, 3, 2, 2, 2, 3, 1, 21, 52.5
148121371, 72622, 3254, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 5, 5, 4, 4, 3, 3, 4, 4, 3, 3, 0, 4, 1, 3, 2, 2, 1, 3, 2, 21, 52.5
148121371, 69693, 325, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0400, 5, 5, 4, 4, 3, 3, 4, 4, 3, 4, 4, 0, 3, 1, 2, 2, 3, 1, 2, 1, 19, 47.5
148121371, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0500, 5, 4, 4, 3, 3, 3, 4, 5, 4, 4, 4, 1, 3, 2, 2, 2, 3, 0, 3, 1, 21, 52.5
148121369, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 3, 4, 5, 4, 4, 3, 3, 4, 4, 1, 2, 3, 0, 3, 1, 2, 2, 3, 1, 18, 45.0
148121369, 74709, 5341, Timeline 1 (Base Interface), Timeline 5 (Event Thumbnails), VIRAT_S_0100, 3, 5, 4, 4, 3, 3, 3, 4, 4, 4, 2, 0, 3, 1, 2, 2, 2, 1, 3, 1, 17, 42.5
148121369, 69421, 53, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 5, 5, 4, 4, 3, 3, 4, 4, 4, 3, 0, 4, 1, 3, 2, 2, 1, 3, 1, 20, 50.0
148121369, 69902, 534, Timeline 4 (Density Graph + Event Blocks), Timeline 5 (Event Thumbnails), VIRAT_S_0400, 4, 5, 4, 4, 3, 3, 4, 4, 5, 4, 3, 0, 3, 1, 2, 2, 3, 1, 4, 1, 20, 50.0
148121369, 122780, 53412, Timeline 2 (Density Graph), Timeline 5 (Event Thumbnails), VIRAT_S_0500, 3, 4, 5, 5, 4, 4, 3, 3, 4, 4, 2, 1, 4, 0, 3, 1, 2, 2, 3, 1, 19, 47.5
148088832, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 3 (Event Blocks), VIRAT_S_0002, 2, 2, 4, 1, 2, 2, 4, 4, 4, 1, 1, 3, 3, 4, 1, 3, 3, 1, 3, 4, 26, 65.0
148088832, 123689, 54321, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0100, 1, 2, 4, 1, 1, 1, 4, 5, 1, 1, 0, 3, 3, 4, 0, 4, 3, 0, 0, 4, 21, 52.5
148088832, 74800, 5432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0102, 2, 2, 2, 1, 2, 2, 4, 5, 3, 1, 1, 3, 1, 4, 1, 3, 3, 0, 2, 4, 22, 55.0
148088832, 69422, 54, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 4, 2, 4, 1, 4, 2, 4, 2, 5, 1, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 33, 82.5
148088832, 69911, 543, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0500, 3, 2, 4, 1, 3, 2, 4, 2, 4, 1, 2, 3, 3, 4, 2, 3, 3, 3, 3, 4, 30, 75.0
148087855, 69513, 145, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0002, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 100.0
148087855, 70820, 1452, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 100.0
148087855, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 100.0
148087855, 83891, 14523, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0400, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 100.0
148087855, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0500, 3, 1, 5, 1, 4, 1, 5, 1, 5, 1, 2, 4, 4, 4, 3, 4, 4, 4, 4, 4, 37, 92.5
148072624, 69609, 241, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0002, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148072624, 71783, 2415, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0100, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148072624, 69392, 24, Timeline 4 (Density Graph + Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0102, 5, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 31, 77.5
148072624, 69370, 2, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0400, 4, 2, 4, 2, 4, 2, 4, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 29, 72.5
148072624, 93521, 24153, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0500, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148063804, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063804, 69511, 143, Timeline 3 (Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0100, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 3, 1, 3, 1, 3, 1, 3, 22, 55.0
148063804, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0102, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 3, 1, 3, 1, 3, 18, 45.0
148063804, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 2 (Density Graph), VIRAT_S_0400, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 3, 1, 3, 1, 3, 1, 3, 22, 55.0
148063804, 6936969369, 6936900001, Timeline 1 (Base Interface), Timeline 2 (Density Graph), VIRAT_S_0500, 3, 2, 3, 3, 4, 4, 3, 2, 2, 2, 2, 3, 2, 2, 3, 1, 2, 3, 1, 3, 22, 55.0
148063806, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0002, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 1, 3, 1, 3, 2, 3, 1, 3, 22, 55.0
148063806, 69511, 143, Timeline 3 (Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0100, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 3, 1, 3, 1, 3, 19, 47.5
148063806, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0102, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063806, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 2 (Density Graph), VIRAT_S_0400, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 3, 1, 3, 1, 3, 20, 50.0
148063806, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0500, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 20, 50.0
148063807, 69369, 1, Timeline 1 (Base Interface), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 3, 1, 3, 1, 3, 1, 3, 2, 3, 21, 52.5
148063807, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 2 (Density Graph), VIRAT_S_0100, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 3, 1, 3, 1, 3, 20, 50.0
148063807, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0102, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063807, 69511, 143, Timeline 3 (Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0400, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063807, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0500, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 1, 3, 1, 3, 21, 52.5
148063808, 69511, 143, Timeline 3 (Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0002, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063808, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 1, 3, 1, 3, 1, 2, 1, 3, 20, 50.0
148063808, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0102, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 1, 3, 1, 3, 2, 3, 1, 3, 22, 55.0
148063808, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 2 (Density Graph), VIRAT_S_0400, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 1, 3, 1, 3, 1, 3, 22, 55.0
148063808, 69369, 1, Timeline 1 (Base Interface), Timeline 2 (Density Graph), VIRAT_S_0500, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063802, 69382, 14, Timeline 4 (Density Graph + Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063802, 70800, 1432, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063802, 83693, 14325, Timeline 5 (Event Thumbnails), Timeline 2 (Density Graph), VIRAT_S_0102, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 3, 1, 3, 1, 3, 1, 3, 1, 3, 20, 50.0
148063802, 69511, 143, Timeline 3 (Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0400, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 3, 21, 52.5
148063802, 69369, 1, Timeline 1 (Base Interface), Timeline 2 (Density Graph), VIRAT_S_0500, 2, 4, 3, 2, 5, 2, 2, 2, 2, 3, 1, 1, 2, 3, 4, 3, 1, 3, 1, 2, 21, 52.5
148060312, 74710, 5342, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 4, 2, 4, 3, 4, 2, 4, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 12, 30.0
148060312, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0100, 4, 3, 4, 2, 4, 3, 2, 3, 3, 4, 3, 2, 3, 3, 3, 2, 1, 2, 2, 1, 22, 55.0
148060312, 69902, 534, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
148060312, 122789, 53421, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0400, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 2, 19, 47.5
148060312, 69421, 53, Timeline 3 (Event Blocks), Timeline 1 (Base Interface), VIRAT_S_0500, 4, 3, 4, 2, 4, 2, 3, 2, 4, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 27, 67.5
148053790, 69380, 12, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0002, 4, 2, 4, 1, 4, 2, 4, 2, 4, 2, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 31, 77.5
148053790, 69369, 1, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0100, 3, 2, 4, 2, 4, 2, 4, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 27, 67.5
148053790, 70613, 1245, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0102, 5, 1, 5, 1, 5, 1, 5, 1, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 40, 100.0
148053790, 69492, 124, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 5, 2, 5, 2, 5, 2, 5, 2, 4, 2, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 34, 85.0
148053790, 70613, 1245, Timeline 5 (Event Thumbnails), Timeline 3 (Event Blocks), VIRAT_S_0500, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
147916593, 69713, 345, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0002, 5, 1, 4, 2, 4, 3, 4, 2, 4, 2, 4, 4, 3, 3, 3, 2, 3, 3, 3, 3, 31, 77.5
147916593, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0100, 4, 1, 5, 1, 5, 2, 4, 2, 4, 2, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 34, 85.0
147916593, 72819, 3451, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0102, 2, 1, 4, 1, 3, 3, 5, 4, 4, 1, 1, 4, 3, 4, 2, 2, 4, 1, 3, 4, 28, 70.0
147916593, 69402, 34, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 4, 2, 4, 2, 4, 2, 4, 1, 4, 1, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 32, 80.0
147916593, 103880, 34512, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0500, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 30, 75.0
147914321, 69410, 42, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0002, 2, 2, 4, 4, 4, 1, 2, 3, 4, 2, 1, 3, 3, 1, 3, 4, 1, 2, 3, 3, 24, 60.0
147914321, 69793, 425, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0100, 5, 2, 3, 4, 5, 1, 3, 1, 4, 2, 4, 3, 2, 1, 4, 4, 2, 4, 3, 3, 30, 75.0
147914321, 69372, 4, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 3, 3, 4, 4, 2, 3, 3, 4, 2, 3, 2, 2, 1, 3, 3, 2, 2, 3, 3, 24, 60.0
147914321, 73619, 4251, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0400, 4, 1, 4, 1, 3, 1, 5, 4, 5, 1, 3, 4, 3, 4, 2, 4, 4, 1, 4, 4, 33, 82.5
147914321, 111881, 42513, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0500, 5, 2, 4, 3, 5, 1, 4, 2, 5, 2, 4, 3, 3, 2, 4, 4, 3, 3, 4, 3, 33, 82.5
147906122, 69421, 53, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 4, 4, 3, 3, 3, 3, 4, 4, 3, 5, 3, 1, 2, 2, 2, 2, 3, 1, 2, 0, 18, 45.0
147906122, 69900, 532, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 2, 3, 2, 4, 3, 3, 3, 4, 3, 5, 1, 2, 1, 1, 2, 2, 2, 1, 2, 0, 14, 35.0
147906122, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0102, 5, 3, 5, 3, 5, 3, 4, 3, 5, 5, 4, 2, 4, 2, 4, 2, 3, 2, 4, 0, 27, 67.5
147906122, 74692, 5324, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 5, 3, 5, 4, 5, 3, 4, 3, 5, 5, 4, 2, 4, 1, 4, 2, 3, 2, 4, 0, 26, 65.0
147906122, 122609, 53241, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0500, 4, 3, 4, 3, 2, 3, 4, 3, 4, 4, 3, 2, 3, 2, 1, 2, 3, 2, 3, 1, 22, 55.0
147842712, 121682, 52314, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 2, 4, 2, 2, 4, 2, 2, 4, 2, 4, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 16, 40.0
147842712, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0100, 3, 2, 4, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 1, 3, 1, 3, 1, 2, 22, 55.0
147842712, 69891, 523, Timeline 3 (Event Blocks), Timeline 1 (Base Interface), VIRAT_S_0102, 2, 4, 2, 2, 3, 2, 4, 4, 3, 2, 1, 1, 1, 3, 2, 3, 3, 1, 2, 3, 20, 50.0
147842712, 74599, 5231, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0400, 4, 1, 4, 2, 4, 2, 5, 4, 4, 1, 3, 4, 3, 3, 3, 3, 4, 1, 3, 4, 31, 77.5
147842712, 69420, 52, Timeline 2 (Density Graph), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500, 4, 2, 4, 2, 4, 2, 4, 1, 4, 1, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 32, 80.0
147753370, 73889, 4521, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0002, 2, 2, 4, 1, 3, 3, 4, 5, 5, 1, 1, 3, 3, 4, 2, 2, 3, 0, 4, 4, 26, 65.0
147753370, 69820, 452, Timeline 2 (Density Graph), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100, 3, 2, 3, 2, 4, 3, 3, 4, 4, 2, 2, 3, 2, 3, 3, 2, 2, 1, 3, 3, 24, 60.0
147753370, 114581, 45213, Timeline 3 (Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 35, 87.5
147753370, 69372, 4, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400, 4, 3, 3, 3, 4, 2, 3, 2, 3, 4, 3, 2, 2, 2, 3, 3, 2, 3, 2, 1, 23, 57.5
147753370, 69413, 45, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0500, 4, 2, 4, 2, 5, 1, 5, 2, 5, 1, 3, 3, 3, 3, 4, 4, 4, 3, 4, 4, 35, 87.5
147752820, 74709, 5341, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0002, 2, 3, 1, 5, 2, 3, 3, 4, 2, 1, 1, 2, 0, 0, 1, 2, 2, 1, 1, 4, 14, 35.0
147752820, 122780, 53412, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0100, 2, 4, 2, 4, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 18, 45.0
