Response ID,Timeline Used Value,Timeline Used Value Decrypted,Timeline Type (TimelinesUsed),Timeline Type (User Entry),Video Name,(Original Answer) 1. I think that I would like to use this UI frequently,(Original Answer) 2. I found the UI unnecessarily complex,(Original Answer) 3. I thought the UI was easy to use,(Original Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Original Answer) 5. I found the various functions in this UI were well integrated,(Original Answer) 6. I thought there was too much inconsistency in this UI,(Original Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Original Answer) 8. I found the UI very cumbersome to use,(Original Answer) 9. I felt very confident using the UI,(Original Answer) 10. I needed to learn a lot of things before I could get going with this UI,(Adjusted Answer) 1. I think that I would like to use this UI frequently,(Adjusted Answer) 2. I found the UI unnecessarily complex,(Adjusted Answer) 3. I thought the UI was easy to use,(Adjusted Answer) 4. I think that I would need the support of a technical person to be able to use this UI,(Adjusted Answer) 5. I found the various functions in this UI were well integrated,(Adjusted Answer) 6. I thought there was too much inconsistency in this UI,(Adjusted Answer) 7. I would imagine that most people would learn to use this UI very quickly,(Adjusted Answer) 8. I found the UI very cumbersome to use,(Adjusted Answer) 9. I felt very confident using the UI,(Adjusted Answer) 10. I needed to learn a lot of things before I could get going with this UI,Adjusted Answer Sum,SUS Score
148743058, 122492, 53124, Timeline 4 (Density Graph + Event Blocks), Timeline 1 (Base Interface), VIRAT_S_0102, 2, 5, 2, 5, 2, 5, 5, 5, 5, 2, 1, 0, 1, 0, 1, 0, 4, 0, 4, 3, 14, 35.0
148743058, 69373, 5, Timeline 5 (Event Thumbnails), Timeline 1 (Base Interface), VIRAT_S_0400, 3, 4, 3, 4, 3, 5, 5, 5, 5, 1, 2, 1, 2, 1, 2, 0, 4, 0, 4, 4, 20, 50.0
148743058, 69899, 531, Timeline 1 (Base Interface), Timeline 3 (Event Blocks), VIRAT_S_0500, 3, 2, 2, 4, 4, 4, 4, 4, 4, 4, 2, 3, 1, 1, 3, 1, 3, 1, 3, 1, 19, 47.5
148558714, 72582, 3214, Timeline 4 (Density Graph + Event Blocks), Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002, 4, 2, 4, 2, 4, 2, 2, 2, 4, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 27, 67.5
148558714, 69689, 321, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0100, 2, 1, 4, 2, 3, 3, 4, 4, 2, 2, 1, 4, 3, 3, 2, 2, 3, 1, 1, 3, 23, 57.5
148558714, 69400, 32, Timeline 2 (Density Graph), Timeline 2 (Density Graph), VIRAT_S_0102, 3, 2, 4, 2, 4, 2, 3, 4, 3, 3, 2, 3, 3, 3, 3, 3, 2, 1, 2, 2, 24, 60.0
148558714, 101513, 32145, Timeline 5 (Event Thumbnails), Timeline 5 (Event Thumbnails), VIRAT_S_0400, 5, 2, 4, 2, 4, 1, 4, 1, 4, 2, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 33, 82.5
148558714, 69371, 3, Timeline 3 (Event Blocks), Timeline 3 (Event Blocks), VIRAT_S_0500, 4, 1, 5, 2, 4, 2, 4, 2, 4, 2, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 32, 80.0
148552210, 74709, 5341, Timeline 1 (Base Interface), Timeline 1 (Base Interface), VIRAT_S_0002, 3, 3, 4, 1, 4, 2, 2, 2, 4, 2, 2, 2, 3, 4, 3, 3, 1, 3, 3, 3, 27, 67.5
148552210, 69421, 53, Timeline 3 (Event Blocks), Timeline 2 (Density Graph), VIRAT_S_0100, 2, 3, 3, 3, 3, 4, 2, 4, 2, 3, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 15, 37.5
