PID,TIMELINE,VIDEO,SUS
146269551, Timeline 3 (Event Blocks), VIRAT_S_0500,75
146266265, Timeline 5 (Event Thumbnails), VIRAT_S_0002,75
146266265, Timeline 3 (Event Blocks), VIRAT_S_0100,37.5
146266265, Timeline 1 (Base Interface), VIRAT_S_0102,57.5
146266265, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,77.5
146266265, Timeline 2 (Density Graph), VIRAT_S_0500,75
146217689, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,85
146217689, Timeline 1 (Base Interface), VIRAT_S_0100,67.5
146217689, Timeline 5 (Event Thumbnails), VIRAT_S_0102,85
146217689, Timeline 2 (Density Graph), VIRAT_S_0400,80
146217689, Timeline 3 (Event Blocks), VIRAT_S_0500,80
146210319, Timeline 1 (Base Interface), VIRAT_S_0002,72.5
146210319, Timeline 5 (Event Thumbnails), VIRAT_S_0100,72.5
146210319, Timeline 2 (Density Graph), VIRAT_S_0102,87.5
146210319, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,75
146210319, Timeline 3 (Event Blocks), VIRAT_S_0500,57.5
146208061, Timeline 5 (Event Thumbnails), VIRAT_S_0002,75
146208061, Timeline 2 (Density Graph), VIRAT_S_0100,70
146208061, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,87.5
146208061, Timeline 3 (Event Blocks), VIRAT_S_0400,85
146208061, Timeline 1 (Base Interface), VIRAT_S_0500,85
146207901, Timeline 5 (Event Thumbnails), VIRAT_S_0002,62.5
146207901, Timeline 3 (Event Blocks), VIRAT_S_0100,52.5
146207901, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,60
146207901, Timeline 2 (Density Graph), VIRAT_S_0400,60
146207901, Timeline 1 (Base Interface), VIRAT_S_0500,45
146206265, Timeline 5 (Event Thumbnails), VIRAT_S_0002,67.5
146206265, Timeline 3 (Event Blocks), VIRAT_S_0100,45
146206265, Timeline 1 (Base Interface), VIRAT_S_0102,70
146206265, Timeline 2 (Density Graph), VIRAT_S_0400,70
146206265, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,75
146201756, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,37.5
146201756, Timeline 1 (Base Interface), VIRAT_S_0100,22.5
146201756, Timeline 5 (Event Thumbnails), VIRAT_S_0102,97.5
146201756, Timeline 2 (Density Graph), VIRAT_S_0400,80
146201756, Timeline 3 (Event Blocks), VIRAT_S_0500,100
