PID,TIMELINE,VIDEO,SUS
148551719, Timeline 2 (Density Graph), VIRAT_S_0400,67.5
148551719, Timeline 3 (Event Blocks), VIRAT_S_0500,95
148547931, Timeline 2 (Density Graph), VIRAT_S_0002,80
148547931, Timeline 5 (Event Thumbnails), VIRAT_S_0100,85
148547931, Timeline 1 (Base Interface), VIRAT_S_0102,77.5
148547931, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,40
148547931, Timeline 3 (Event Blocks), VIRAT_S_0500,67.5
148516311, Timeline 3 (Event Blocks), VIRAT_S_0002,67.5
148516311, Timeline 2 (Density Graph), VIRAT_S_0100,57.5
148516311, Timeline 5 (Event Thumbnails), VIRAT_S_0102,75
148516311, Timeline 1 (Base Interface), VIRAT_S_0400,60
148516311, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,57.5
148463769, Timeline 3 (Event Blocks), VIRAT_S_0002,55
148463769, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0100,52.5
148463769, Timeline 2 (Density Graph), VIRAT_S_0102,45
148463769, Timeline 5 (Event Thumbnails), VIRAT_S_0400,75
148463769, Timeline 1 (Base Interface), VIRAT_S_0500,52.5
148457705, Timeline 2 (Density Graph), VIRAT_S_0002,67.5
148457705, Timeline 5 (Event Thumbnails), VIRAT_S_0100,62.5
148457705, Timeline 1 (Base Interface), VIRAT_S_0102,55
148457705, Timeline 3 (Event Blocks), VIRAT_S_0400,80
148457705, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0500,77.5
148379134, Timeline 2 (Density Graph), VIRAT_S_0002,20
148379134, Timeline 5 (Event Thumbnails), VIRAT_S_0100,40
148379134, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0102,72.5
148379134, Timeline 1 (Base Interface), VIRAT_S_0400,40
148379134, Timeline 3 (Event Blocks), VIRAT_S_0500,67.5
148355343, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0002,75
148355343, Timeline 5 (Event Thumbnails), VIRAT_S_0100,75
148355343, Timeline 1 (Base Interface), VIRAT_S_0102,75
148355343, Timeline 2 (Density Graph), VIRAT_S_0400,72.5
148355343, Timeline 3 (Event Blocks), VIRAT_S_0500,70
148250834, Timeline 3 (Event Blocks), VIRAT_S_0002,82.5
148250834, Timeline 1 (Base Interface), VIRAT_S_0100,72.5
148250834, Timeline 2 (Density Graph), VIRAT_S_0102,75
148250834, Timeline 4 (Density Graph + Event Blocks), VIRAT_S_0400,80
148250834, Timeline 5 (Event Thumbnails), VIRAT_S_0500,87.5
148242096, Timeline 2 (Density Graph), VIRAT_S_0002,47.5
